Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~exam01.PrjPCB|ReportField=ProjectFullPath~C:\Users\Administrator\Desktop\알티움\exam01.PrjPCB|ReportField=Title~Bill of Materials For Project [exam01.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~오후 5:21:57|ReportField=ReportDate~2024-03-28|ReportField=ReportDateTime~2024-03-28 오후 5:21:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~22|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2024-03-28|ReportField=CurrentTime~오후 5:21:55|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Administrator\Desktop\알티움\exam01.SchDoc|ReportField=DocumentName~exam01.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2024-03-28|ReportField=Organization~|ReportField=ProjectName~exam01.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~exam01.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Administrator\Desktop\알티움\exam01.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap|Capacitor|C1, C2, C3, C4|RAD-0.3|Cap|4
2|LED0|Typical INFRARED GaAs LED|D?|LED-0|LED0|1
3|Power p|Header, 2-Pin, Right Angle|P1|HDR1X2H|Header 2H|1
4|LM7809|Header, 3-Pin|P2|HDR1X3|Header 3|1
5|FAN1|Header, 2-Pin, Right Angle|P3|HDR1X2H|Header 2H|1
6|FAN2|Header, 2-Pin, Right Angle|P4|HDR1X2H|Header 2H|1
7|PUMP|Header, 2-Pin, Right Angle|P5|HDR1X2H|Header 2H|1
8|Hallogen|Header, 2-Pin, Right Angle|P6|HDR1X2H|Header 2H|1
9|Relay|Header, 3-Pin, Dual row|P7|HDR2X3_CEN|Header 3X2A|1
10|Concent|Header, 2-Pin, Right Angle|P8|HDR1X2H|Header 2H|1
11|DHT11|Header, 3-Pin, Right Angle|P?|HDR1X3H|Header 3H|1
12|lihgt_intensity_sensor|Header, 2-Pin|P?|HDR1X2|Header 2|1
13|soil_moisture|Header, 3-Pin, Right Angle|P?|HDR1X3H|Header 3H|1
14|Res|Semiconductor Resistor|R?|AXIAL-0.5|Res Semi|1
15|Res|Isolated Resistor Network - Parts|R?|SOIC16_N|Res Pack1|1
16|ATMEGA328-PU|AVR AVRÂ® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 28-PDIP|U1|DIP787W46P254L3467H508Q28|ATMEGA328-PU|1
17|L293D|Bipolar Motor Driver - Parallel 16-PowerDIP|U2, U3|DIP880W50P254L2000H510Q16|L293D|2
18|XTAL|Crystal Oscillator|Y1|R38|XTAL|1
